hRideF,hRideR,aRollAbs,CLiftBodyF,CLiftBodyR,CDragBody
0.001757215,0.06633652,1.47E-05,1.816249609,2.103224277,0.808936715
0.000557658,0.064351708,5.10E-06,1.812100291,2.074121952,0.807027042
-0.000450129,0.063186362,6.69E-06,1.813197017,2.05089736,0.806033015
-0.00126661,0.062355746,5.35E-08,1.81509757,2.031983137,0.805357695
-0.001907506,0.061683558,3.25E-06,1.816327453,2.016559124,0.804809868
-0.002425154,0.061141405,1.55E-06,1.817304134,2.003832102,0.804365098
-0.002866849,0.060744401,0.000118611,1.818481922,1.992826819,0.804157794
-0.006966713,0.088415265,0.002375333,2.121286392,2.056377818,0.861739677
0.008352075,0.108915485,0.002474878,2.147588112,2.448285861,0.938578581
0.019293271,0.11213024,0.011448039,2.049999256,2.472074257,0.977868082
0.021558322,0.107328974,0.010163172,2.009000312,2.471184549,0.961756127
0.018797109,0.094882533,3.61E-07,1.991001144,2.450215756,0.904477704
0.002085989,0.080064654,0.003358276,1.932840943,2.140609073,0.828714263
-0.004858903,0.097128637,0.015039905,2.154451609,2.123433531,0.908549056
0.005289846,0.100143418,0.016289379,2.049421828,2.309373946,0.916884932
0.009009072,0.094732262,0.016436312,1.98394955,2.315873638,0.903616255
0.007776335,0.092029713,0.016407387,1.965022572,2.282374048,0.891027995
0.006618605,0.08958789,0.016370878,1.947739662,2.249045131,0.879602894
0.004245703,0.08343859,0.000118697,1.943935633,2.219764393,0.836718778
0.002090098,0.080000915,0.000119892,1.939081073,2.150960794,0.825289336
0.000480617,0.07739044,1.46E-05,1.934929013,2.120269299,0.822711289
-0.000795781,0.075352289,5.06E-06,1.931521773,2.093398333,0.820768476
-0.001846037,0.073992006,6.64E-06,1.931488991,2.070632696,0.819557488
-0.002714985,0.073158428,5.26E-08,1.934108615,2.0518291,0.818899691
-0.003399571,0.072488435,3.23E-06,1.935975075,2.036460161,0.818372011
-0.003953364,0.071948119,1.53E-06,1.937473893,2.023727655,0.817943871
-0.004425199,0.071554229,0.00011774,1.939094663,2.012560129,0.817751288
-0.008208674,0.100346416,0.002377767,2.243322372,2.121716145,0.904923619
0.007912077,0.119683824,0.00247412,2.242424559,2.480207016,0.976316124
0.019134438,0.122411914,0.011398996,2.139339026,2.500314325,1.014702535
0.021415951,0.117686227,0.010110145,2.09941498,2.511198326,0.998732408
0.018436724,0.105582952,3.61E-07,2.086887765,2.519727812,0.942019442
0.000882534,0.091676489,0.003349055,2.053514957,2.234831589,0.870708529
-0.006129397,0.109477945,0.015041248,2.280158281,2.168070173,0.953865462
0.004443624,0.111687988,0.016261863,2.159921169,2.35851789,0.958275141
0.008192888,0.106163941,0.016387818,2.089075436,2.381492964,0.943179841
0.006877248,0.103529543,0.016358878,2.071337608,2.353605637,0.930620262
0.005640086,0.101145722,0.01632056,2.055123996,2.325167196,0.919203869
0.003181642,0.09497603,0.000118116,2.061637163,2.308628133,0.878389192
0.000896162,0.091606095,0.000119351,2.059533358,2.245393315,0.86725391
-0.000820796,0.089045204,1.45E-05,2.057542324,2.193769499,0.858699274
-0.002187698,0.087041825,5.04E-06,2.055858374,2.150223439,0.852076457
-0.003290956,0.085536025,6.61E-06,2.055331707,2.114514311,0.847135772
-0.004189429,0.084496103,5.18E-08,2.056523085,2.086316876,0.843772365
-0.009470115,0.112882674,0.002381885,2.368236303,2.156133615,0.950309059
